,opcarrier,origin,dest,origin_lat,origin_lng,dest_lat,dest_lng
656,WN,PHX,PDX,33.43416667,-112.0080556,45.58872222,-122.5975
657,NK,FLL,BWI,26.07258333,-80.15275,39.17540167,-76.66819833
658,WN,DAL,CLT,32.84711389,-96.85177222,35.21401111,-80.94312583
659,WN,DAL,DTW,32.84711389,-96.85177222,42.21205889,-83.34883583
660,WN,DAL,FLL,32.84711389,-96.85177222,26.07258333,-80.15275
661,WN,ATL,LGA,33.64044444,-84.42694444,40.77724306,-73.87260917
662,WN,MDW,MCO,41.7859825,-87.75242444,28.42888889,-81.31602778
663,WN,ATL,MSP,33.64044444,-84.42694444,44.88054694,-93.2169225
664,WN,PHX,MSP,33.43416667,-112.0080556,44.88054694,-93.2169225
665,WN,DEN,TPA,39.85840806,-104.6670019,27.97547222,-82.53325
666,UA,DEN,SLC,39.85840806,-104.6670019,40.78838778,-111.9777731
667,F9,MCO,CLT,28.42888889,-81.31602778,35.21401111,-80.94312583
668,F9,PHL,CLT,39.87195278,-75.24114083,35.21401111,-80.94312583
669,F9,IAD,LAS,38.94453194,-77.45580972,36.08036111,-115.1523333
670,F9,DEN,LAX,39.85840806,-104.6670019,33.94253611,-118.4080744
671,F9,DEN,PHL,39.85840806,-104.6670019,39.87195278,-75.24114083
672,NK,MCO,ORD,28.42888889,-81.31602778,41.979595,-87.90446417
673,NK,LAS,ORD,36.08036111,-115.1523333,41.979595,-87.90446417
674,NK,ORD,SEA,41.979595,-87.90446417,47.44898194,-122.3093131
675,OO,IAH,DFW,29.98047222,-95.33972222,32.89595056,-97.0372
676,WN,DAL,DEN,32.84711389,-96.85177222,39.85840806,-104.6670019
677,WN,BWI,DTW,39.17540167,-76.66819833,42.21205889,-83.34883583
678,WN,MDW,EWR,41.7859825,-87.75242444,40.69249722,-74.16866056
679,WN,MDW,PHL,41.7859825,-87.75242444,39.87195278,-75.24114083
680,WN,LAS,SEA,36.08036111,-115.1523333,47.44898194,-122.3093131
681,UA,IAH,DTW,29.98047222,-95.33972222,42.21205889,-83.34883583
682,B6,BOS,FLL,42.3643475,-71.00517917,26.07258333,-80.15275
683,B6,BOS,MSP,42.3643475,-71.00517917,44.88054694,-93.2169225
684,F9,MCO,LAS,28.42888889,-81.31602778,36.08036111,-115.1523333
685,F9,DEN,SEA,39.85840806,-104.6670019,47.44898194,-122.3093131
686,F9,DEN,SFO,39.85840806,-104.6670019,37.61900194,-122.3748433
687,NK,DEN,BWI,39.85840806,-104.6670019,39.17540167,-76.66819833
688,NK,DTW,BWI,42.21205889,-83.34883583,39.17540167,-76.66819833
689,NK,FLL,DEN,26.07258333,-80.15275,39.85840806,-104.6670019
690,NK,FLL,EWR,26.07258333,-80.15275,40.69249722,-74.16866056
691,NK,LAS,EWR,36.08036111,-115.1523333,40.69249722,-74.16866056
692,NK,LAS,SAN,36.08036111,-115.1523333,32.73355611,-117.1896567
693,OO,DEN,PDX,39.85840806,-104.6670019,45.58872222,-122.5975
694,WN,MDW,DCA,41.7859825,-87.75242444,38.85208333,-77.03772222
695,WN,SAN,EWR,32.73355611,-117.1896567,40.69249722,-74.16866056
696,WN,DEN,EWR,39.85840806,-104.6670019,40.69249722,-74.16866056
697,WN,SAN,PDX,32.73355611,-117.1896567,45.58872222,-122.5975
698,WN,DAL,PHL,32.84711389,-96.85177222,39.87195278,-75.24114083
699,WN,DEN,PHL,39.85840806,-104.6670019,39.87195278,-75.24114083
700,WN,TPA,SAN,27.97547222,-82.53325,32.73355611,-117.1896567
701,WN,DAL,SFO,32.84711389,-96.85177222,37.61900194,-122.3748433
702,WN,DAL,TPA,32.84711389,-96.85177222,27.97547222,-82.53325
703,B6,FLL,ATL,26.07258333,-80.15275,33.64044444,-84.42694444
704,F9,DEN,PHX,39.85840806,-104.6670019,33.43416667,-112.0080556
