,opcarrier,origin,dest,origin_lat,origin_lng,dest_lat,dest_lng
923,B6,BOS,PDX,42.3643475,-71.00517917,45.58872222,-122.5975
924,OO,DEN,ATL,39.85840806,-104.6670019,33.64044444,-84.42694444
925,WN,SEA,MCO,47.44898194,-122.3093131,28.42888889,-81.31602778
926,WN,LAS,BOS,36.08036111,-115.1523333,42.3643475,-71.00517917
927,OO,SLC,PHX,40.78838778,-111.9777731,33.43416667,-112.0080556
928,DL,MSP,MDW,44.88054694,-93.2169225,41.7859825,-87.75242444
929,OO,ORD,IAD,41.979595,-87.90446417,38.94453194,-77.45580972
930,AA,SAN,LAX,32.73355611,-117.1896567,33.94253611,-118.4080744
931,UA,MIA,IAD,25.79325,-80.29055556,38.94453194,-77.45580972
932,MQ,CLT,ORD,35.21401111,-80.94312583,41.979595,-87.90446417
933,AS,BOS,ORD,42.3643475,-71.00517917,41.979595,-87.90446417
934,UA,DCA,EWR,38.85208333,-77.03772222,40.69249722,-74.16866056
935,UA,TPA,PHX,27.97547222,-82.53325,33.43416667,-112.0080556
936,NK,DTW,DFW,42.21205889,-83.34883583,32.89595056,-97.0372
937,NK,ATL,EWR,33.64044444,-84.42694444,40.69249722,-74.16866056
938,NK,FLL,SAN,26.07258333,-80.15275,32.73355611,-117.1896567
939,WN,MCO,BOS,28.42888889,-81.31602778,42.3643475,-71.00517917
940,WN,LGA,FLL,40.77724306,-73.87260917,26.07258333,-80.15275
941,F9,MIA,DEN,25.79325,-80.29055556,39.85840806,-104.6670019
942,F9,MCO,PHL,28.42888889,-81.31602778,39.87195278,-75.24114083
943,NK,DEN,ATL,39.85840806,-104.6670019,33.64044444,-84.42694444
944,NK,BOS,DFW,42.3643475,-71.00517917,32.89595056,-97.0372
945,NK,DEN,LGA,39.85840806,-104.6670019,40.77724306,-73.87260917
946,NK,DFW,ORD,32.89595056,-97.0372,41.979595,-87.90446417
947,NK,DFW,PHL,32.89595056,-97.0372,39.87195278,-75.24114083
948,WN,PDX,SFO,45.58872222,-122.5975,37.61900194,-122.3748433
949,NK,IAH,DEN,29.98047222,-95.33972222,39.85840806,-104.6670019
950,NK,BOS,TPA,42.3643475,-71.00517917,27.97547222,-82.53325
951,NK,ATL,TPA,33.64044444,-84.42694444,27.97547222,-82.53325
952,F9,LGA,ATL,40.77724306,-73.87260917,33.64044444,-84.42694444
953,F9,LAS,IAH,36.08036111,-115.1523333,29.98047222,-95.33972222
954,NK,DEN,ORD,39.85840806,-104.6670019,41.979595,-87.90446417
955,NK,LAX,MSP,33.94253611,-118.4080744,44.88054694,-93.2169225
956,NK,DTW,MSP,42.21205889,-83.34883583,44.88054694,-93.2169225
957,NK,LAS,PHL,36.08036111,-115.1523333,39.87195278,-75.24114083
958,F9,ATL,SFO,33.64044444,-84.42694444,37.61900194,-122.3748433
959,NK,MSP,DEN,44.88054694,-93.2169225,39.85840806,-104.6670019
